HARPNUM,T_REC,flare_risk,alert,confidence
13451,2026-04-20 23:48:00+00:00,0.49015692,1,0.49015692
13435,2026-04-20 23:48:00+00:00,0.09080863,0,0.90919137
13429,2026-04-18 16:24:00+00:00,0.06235177,0,0.93764824
13432,2026-04-18 15:00:00+00:00,0.058215417,0,0.94178456
13457,2026-04-20 23:48:00+00:00,0.043159034,0,0.956841
13469,2026-04-20 23:48:00+00:00,0.04213163,0,0.9578684
13467,2026-04-20 23:48:00+00:00,0.041586213,0,0.9584138
13461,2026-04-20 20:24:00+00:00,0.040554367,0,0.95944566
13454,2026-04-20 23:48:00+00:00,0.03870431,0,0.96129566
13455,2026-04-20 23:48:00+00:00,0.03824302,0,0.961757
13466,2026-04-20 23:48:00+00:00,0.03808758,0,0.9619124
13459,2026-04-20 09:24:00+00:00,0.035607144,0,0.96439284
13458,2026-04-20 23:48:00+00:00,0.035524383,0,0.96447563
13462,2026-04-20 22:12:00+00:00,0.034837175,0,0.9651628
13464,2026-04-20 23:12:00+00:00,0.033065926,0,0.9669341
13465,2026-04-20 23:48:00+00:00,0.031976514,0,0.9680235
13460,2026-04-18 20:12:00+00:00,0.028088562,0,0.97191143
13463,2026-04-19 17:00:00+00:00,0.026025275,0,0.9739747
